seq_file,seq_root_file,site_code
HocUS1_S23_L001_R1_001.fastq.gz,HocUS1,HOC_U_1
HocUS1_S23_L001_R2_001.fastq.gz,HocUS1,HOC_U_1
HorDS_S34_L001_R1_001.fastq.gz,HorDS,HOR_D
HorDS_S34_L001_R2_001.fastq.gz,HorDS,HOR_D
HorUS1_S18_L001_R1_001.fastq.gz,HorUS1,HOR_U_1
HorUS1_S18_L001_R2_001.fastq.gz,HorUS1,HOR_U_1
KeDS_S27_L001_R1_001.fastq.gz,KeDS,KER_D
KeDS_S27_L001_R2_001.fastq.gz,KeDS,KER_D
KeUS1_S19_L001_R1_001.fastq.gz,KeUS1,KER_U_1
KeUS1_S19_L001_R2_001.fastq.gz,KeUS1,KER_U_1
KeUS2_S70_L001_R1_001.fastq.gz,KeUS2,KER_U_2
KeUS2_S70_L001_R2_001.fastq.gz,KeUS2,KER_U_2
KnDS_S69_L001_R1_001.fastq.gz,KnDS,KNO_D
KnDS_S69_L001_R2_001.fastq.gz,KnDS,KNO_D
KnUS1_S66_L001_R1_001.fastq.gz,KnUS1,KNO_U_1
KnUS1_S66_L001_R2_001.fastq.gz,KnUS1,KNO_U_1
KnUS2_S42_L001_R1_001.fastq.gz,KnUS2,KNO_U_2
KnUS2_S42_L001_R2_001.fastq.gz,KnUS2,KNO_U_2
MaDS_S9_L001_R1_001.fastq.gz,MaDS,MAR_D
MaDS_S9_L001_R2_001.fastq.gz,MaDS,MAR_D
MaUS1_S75_L001_R1_001.fastq.gz,MaUS1,MAR_U_1
MaUS1_S75_L001_R2_001.fastq.gz,MaUS1,MAR_U_1
MaUS2_S4_L001_R1_001.fastq.gz,MaUS2,MAR_U_2
MaUS2_S4_L001_R2_001.fastq.gz,MaUS2,MAR_U_2
MeUS1_S80_L001_R1_001.fastq.gz,MeUS1,MES_U_1
MeUS1_S80_L001_R2_001.fastq.gz,MeUS1,MES_U_1
MuDS_S53_L001_R1_001.fastq.gz,MuDS,MUR_D
MuDS_S53_L001_R2_001.fastq.gz,MuDS,MUR_D
MuUS1_S11_L001_R1_001.fastq.gz,MuUS1,MUR_U_1
MuUS1_S11_L001_R2_001.fastq.gz,MuUS1,MUR_U_1
MuUS2_S14_L001_R1_001.fastq.gz,MuUS2,MUR_U_2
MuUS2_S14_L001_R2_001.fastq.gz,MuUS2,MUR_U_2
NiDS_S30_L001_R1_001.fastq.gz,NiDS,NIE_D
NiDS_S30_L001_R2_001.fastq.gz,NiDS,NIE_D
NiUS1_S5_L001_R1_001.fastq.gz,NiUS1,NIE_U_1
NiUS1_S5_L001_R2_001.fastq.gz,NiUS1,NIE_U_1
Pcr-neg-10cyc_S8_L001_R1_001.fastq.gz,Pcr-neg-10cyc,PCR_NEG_10CYC
Pcr-neg-10cyc_S8_L001_R2_001.fastq.gz,Pcr-neg-10cyc,PCR_NEG_10CYC
Pcr-neg-18cyc_S32_L001_R1_001.fastq.gz,Pcr-neg-18cyc,PCR_NEG_18CYC
Pcr-neg-18cyc_S32_L001_R2_001.fastq.gz,Pcr-neg-18cyc,PCR_NEG_18CYC
Pcr-pos-18cyc_S40_L001_R1_001.fastq.gz,Pcr-pos-18cyc,PCR_POS_18CYC
Pcr-pos-18cyc_S40_L001_R2_001.fastq.gz,Pcr-pos-18cyc,PCR_POS_18CYC
Pcr-pos1-10cyc_S16_L001_R1_001.fastq.gz,Pcr-pos1-10cyc,PCR_POS1_10CYC
Pcr-pos1-10cyc_S16_L001_R2_001.fastq.gz,Pcr-pos1-10cyc,PCR_POS1_10CYC
Pcr-pos2-10cyc_S24_L001_R1_001.fastq.gz,Pcr-pos2-10cyc,PCR_POS2_10CYC
Pcr-pos2-10cyc_S24_L001_R2_001.fastq.gz,Pcr-pos2-10cyc,PCR_POS2_10CYC
ReDS_S12_L001_R1_001.fastq.gz,ReDS,REI_D
ReDS_S12_L001_R2_001.fastq.gz,ReDS,REI_D
ReUS1_S52_L001_R1_001.fastq.gz,ReUS1,REI_U_1
ReUS1_S52_L001_R2_001.fastq.gz,ReUS1,REI_U_1
ReUS2_S48_L001_R1_001.fastq.gz,ReUS2,REI_U_2
ReUS2_S48_L001_R2_001.fastq.gz,ReUS2,REI_U_2
RomDS_S15_L001_R1_001.fastq.gz,RomDS,ROM_D
RomDS_S15_L001_R2_001.fastq.gz,RomDS,ROM_D
RomUS1_S68_L001_R1_001.fastq.gz,RomUS1,ROM_U_1
RomUS1_S68_L001_R2_001.fastq.gz,RomUS1,ROM_U_1
RomUS2_S83_L001_R1_001.fastq.gz,RomUS2,ROM_U_2
RomUS2_S83_L001_R2_001.fastq.gz,RomUS2,ROM_U_2
RotDS_S3_L001_R1_001.fastq.gz,RotDS,ROT_D
RotDS_S3_L001_R2_001.fastq.gz,RotDS,ROT_D
RotUS1_S79_L001_R1_001.fastq.gz,RotUS1,ROT_U_1
RotUS1_S79_L001_R2_001.fastq.gz,RotUS1,ROT_U_1
RotUS2_S41_L001_R1_001.fastq.gz,RotUS2,ROT_U_2
RotUS2_S41_L001_R2_001.fastq.gz,RotUS2,ROT_U_2
SeARA_S21_L001_R1_001.fastq.gz,SeARA,SEV_E
SeARA_S21_L001_R2_001.fastq.gz,SeARA,SEV_E
SeDS_S10_L001_R1_001.fastq.gz,SeDS,SEV_D
SeDS_S10_L001_R2_001.fastq.gz,SeDS,SEV_D
SeUS1_S64_L001_R1_001.fastq.gz,SeUS1,SEV_U_1
SeUS1_S64_L001_R2_001.fastq.gz,SeUS1,SEV_U_1
SeUS2_S31_L001_R1_001.fastq.gz,SeUS2,SEV_U_2
SeUS2_S31_L001_R2_001.fastq.gz,SeUS2,SEV_U_2
